Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,Global size 3,Local size 3,Global size 4,Local size 4,LOOP_UNROLL_LSB,LOOP_UNROLL_LOCAL_MEMORY,LOOP_UNROLL_ADD_UNIFORM,SCAN_DATA_SIZE,SORT_DATA_SIZE,SCAN_BLOCK_SIZE,SORT_BLOCK_SIZE,INLINE_LSB,INLINE_SCAN,INLINE_LOCAL_MEMORY,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2,Maximum work-group size 3,Local memory size 3,Private memory size 3,Constant memory size 3,Registers count 3,Maximum work-group size 4,Local memory size 4,Private memory size 4,Constant memory size 4,Registers count 4
sort,1780229554,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,0,0,1024,132,0,0,33,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,1808615074,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,0,1,1024,132,0,0,33,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,1773635961,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,1,0,1024,132,0,0,29,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,1907804349,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,1,1,1024,132,0,0,29,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,1850859595,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,0,0,1024,132,0,0,31,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,1838529788,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,0,1,1024,132,0,0,31,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,1817458288,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,1,0,1024,132,0,0,30,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,1801742645,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,1,1,1024,132,0,0,30,1024,192,0,0,16,1024,384,0,0,22,1024,4,0,0,10,1024,128,0,0,18
sort,909426611,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,0,0,0,1024,260,0,0,33,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,19
sort,925677156,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,0,0,1,1024,260,0,0,33,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,18
sort,903879569,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,0,1,0,1024,260,0,0,29,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,19
sort,942648219,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,0,1,1,1024,260,0,0,29,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,18
sort,903661535,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,1,0,0,1024,260,0,0,30,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,19
sort,892671518,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,1,0,1,1024,260,0,0,30,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,18
sort,919271683,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,1,1,0,1024,260,0,0,29,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,19
sort,929160506,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,1,1,1,1024,260,0,0,29,1024,320,0,0,16,1024,640,0,0,22,1024,4,0,0,10,1024,256,0,0,18
sort,454129279,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,64,64,0,0,0,1024,516,0,0,33,1024,576,0,0,16,1024,1152,0,0,22,1024,4,0,0,10,1024,512,0,0,19
sort,470221954,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,64,64,0,0,1,1024,516,0,0,33,1024,576,0,0,16,1024,1152,0,0,22,1024,4,0,0,10,1024,512,0,0,17
sort,451615079,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,64,64,0,1,0,1024,516,0,0,31,1024,576,0,0,16,1024,1152,0,0,22,1024,4,0,0,10,1024,512,0,0,19
sort,453735491,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,64,64,0,1,1,1024,516,0,0,31,1024,576,0,0,16,1024,1152,0,0,22,1024,4,0,0,10,1024,512,0,0,17
