Kernel name,Computation duration (ns),Global size 0,Local size 0,Global size 1,Local size 1,Global size 2,Local size 2,Global size 3,Local size 3,Global size 4,Local size 4,LOOP_UNROLL_LSB,LOOP_UNROLL_LOCAL_MEMORY,LOOP_UNROLL_ADD_UNIFORM,SCAN_DATA_SIZE,SORT_DATA_SIZE,SCAN_BLOCK_SIZE,SORT_BLOCK_SIZE,INLINE_LSB,INLINE_SCAN,INLINE_LOCAL_MEMORY,Maximum work-group size 0,Local memory size 0,Private memory size 0,Constant memory size 0,Registers count 0,Maximum work-group size 1,Local memory size 1,Private memory size 1,Constant memory size 1,Registers count 1,Maximum work-group size 2,Local memory size 2,Private memory size 2,Constant memory size 2,Registers count 2,Maximum work-group size 3,Local memory size 3,Private memory size 3,Constant memory size 3,Registers count 3,Maximum work-group size 4,Local memory size 4,Private memory size 4,Constant memory size 4,Registers count 4
sort,904332263,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,0,0,1024,132,0,0,31,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,20
sort,893506473,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,0,1,1024,132,0,0,31,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,21
sort,897120426,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,1,0,1024,132,0,0,31,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,20
sort,894912441,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,0,1,1,1024,132,0,0,31,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,21
sort,893313019,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,0,0,1024,132,0,0,29,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,20
sort,894735724,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,0,1,1024,132,0,0,29,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,21
sort,894647282,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,1,0,1024,132,0,0,27,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,20
sort,893986196,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,16,16,1,1,1,1024,132,0,0,27,1024,192,0,0,16,1024,384,0,0,24,1024,4,0,0,10,1024,128,0,0,21
sort,453322525,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,0,0,0,1024,260,0,0,31,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
sort,453360375,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,0,0,1,1024,260,0,0,31,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,19
sort,453651333,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,32,32,0,1,0,1024,260,0,0,28,1024,320,0,0,16,1024,640,0,0,24,1024,4,0,0,10,1024,256,0,0,20
